frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,frontend_ms,track_total_ms
104,2579631502229,2,602,151,0.250831,0.625000,107,55.685381,6.349316,62.034697,74.782330
105,2579721491230,2,604,171,0.283113,0.604167,96,58.429058,15.617768,74.046826,93.848777
106,2579811516605,2,605,167,0.276033,0.666667,75,61.297653,15.807728,77.105381,89.548052
107,2579991513021,2,603,177,0.293532,0.729167,77,58.224098,7.315736,65.539834,81.069311
108,2580081505563,2,606,156,0.257426,0.645833,72,59.471812,9.718204,69.190016,87.023502
109,2580171508896,2,604,173,0.286424,0.666667,148,60.920609,16.420813,77.341422,94.752615
110,2580261503230,2,608,180,0.296053,0.666667,150,59.597770,16.852399,76.450169,100.472553
111,2580351508313,2,602,184,0.305648,0.770833,98,57.762472,8.013072,65.775544,80.316142
112,2580441540438,2,604,167,0.276490,0.645833,99,59.897605,15.888811,75.786416,97.010540
113,2580531501897,2,605,197,0.325620,0.750000,94,56.696843,13.172300,69.869143,93.405484
114,2580711507938,2,604,174,0.288079,0.729167,81,61.399444,7.647571,69.047015,85.419662
115,2580801502147,2,603,188,0.311774,0.708333,166,58.287474,17.551693,75.839167,98.018335
116,2580891500647,2,607,168,0.276771,0.729167,118,56.742676,8.193823,64.936499,81.027770
117,2580981502980,2,604,170,0.281457,0.687500,105,57.288220,7.137153,64.425373,83.793989
118,2581071511355,2,603,173,0.286899,0.750000,97,59.355811,11.804211,71.160022,90.599098
119,2581161509147,2,608,196,0.322368,0.708333,175,61.058151,17.988569,79.046720,102.622602
120,2581341517064,2,606,165,0.272277,0.687500,103,57.785972,6.815484,64.601456,78.926678
121,2581431510480,2,603,152,0.252073,0.687500,105,55.293629,15.166975,70.460604,92.259271
122,2581521501439,2,604,174,0.288079,0.666667,103,59.718563,16.298604,76.017167,97.814209
123,2581611511897,2,605,176,0.290909,0.708333,102,56.151299,10.197123,66.348422,87.112459
124,2581701505939,2,606,192,0.316832,0.729167,103,60.822317,14.146054,74.968371,93.038190
125,2581791510147,2,607,189,0.311367,0.750000,91,57.375512,10.313248,67.688760,88.444465
126,2581881503272,2,601,169,0.281198,0.729167,156,61.574444,8.657492,70.231936,93.234691
127,2582061504106,2,606,167,0.275578,0.687500,97,59.431103,6.947485,66.378588,79.059470
128,2582151506814,2,603,176,0.291874,0.729167,100,55.322838,16.926065,72.248903,93.249233
129,2582241514022,2,606,190,0.313531,0.729167,174,62.566073,17.409567,79.975640,100.245343
130,2582331513856,2,606,164,0.270627,0.791667,106,55.378546,8.318074,63.696620,77.237672
131,2582421519397,2,607,169,0.278418,0.708333,105,51.761365,6.991943,58.753308,71.285149
132,2582511502773,2,605,183,0.302479,0.687500,104,58.563516,17.474234,76.037750,100.082842
133,2582601504689,2,608,179,0.294408,0.645833,104,56.381341,16.984481,73.365822,96.167452
134,2582691505981,2,602,197,0.327243,0.750000,100,66.121045,17.669526,83.790571,96.221577
135,2582871544689,2,604,186,0.307947,0.750000,159,57.154885,15.600685,72.755570,89.091508
136,2582961519564,2,604,186,0.307947,0.708333,105,56.500967,7.321653,63.822620,77.449838
137,2583051511356,2,607,191,0.314662,0.708333,101,51.771740,9.092202,60.863942,75.111537
138,2583141516148,2,603,179,0.296849,0.708333,104,65.149041,16.495772,81.644813,104.218858
139,2583231512398,2,605,170,0.280992,0.687500,89,56.536550,8.679366,65.215916,78.805802
140,2583321508481,2,601,193,0.321131,0.750000,96,61.977571,17.106857,79.084428,98.382669
141,2583411508940,2,602,183,0.303987,0.750000,84,62.441947,16.670939,79.112886,95.895659
142,2583591521481,2,603,173,0.286899,0.750000,155,57.667513,15.654019,73.321532,97.745708
143,2583681507523,2,603,196,0.325041,0.666667,104,53.923206,7.339653,61.262859,74.736620
144,2583771517148,2,603,189,0.313433,0.687500,110,53.844831,9.161493,63.006324,76.920836
145,2583861512981,2,605,155,0.256198,0.666667,89,55.549254,6.662317,62.211571,81.654812
146,2583951514690,2,603,156,0.258706,0.666667,99,56.765509,8.185282,64.950791,83.115734
147,2584041525565,2,605,174,0.287603,0.729167,89,57.503970,16.916315,74.420285,94.429653
148,2584131526315,2,604,175,0.289735,0.645833,85,58.962476,15.989144,74.951620,89.296717
149,2584311525690,2,603,179,0.296849,0.687500,156,58.975267,7.182819,66.158086,83.307277
150,2584401515940,2,603,176,0.291874,0.770833,109,58.324182,6.783443,65.107625,78.244299
151,2584491539523,2,604,158,0.261589,0.708333,100,50.737319,7.640446,58.377765,71.749524
152,2584581520273,2,605,181,0.299174,0.708333,96,60.074271,17.259857,77.334128,96.216493
153,2584671510607,2,603,174,0.288557,0.666667,160,58.344473,8.484491,66.828964,79.122886
154,2584761513815,2,604,172,0.284768,0.687500,108,53.157578,6.910568,60.068146,72.827945
