frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,frontend_ms,track_total_ms
34,2572521487934,2,606,151,0.249175,0.770833,126,64.579666,12.506866,77.086532,101.887016
35,2572611478059,2,602,168,0.279070,0.750000,120,59.865877,8.555036,68.420913,82.657279
36,2572701478018,2,607,167,0.275124,0.750000,118,65.174999,15.326240,80.501239,103.381056
37,2572791496351,2,605,165,0.272727,0.770833,119,60.551752,11.360618,71.912370,89.849399
38,2572881471310,2,609,171,0.280788,0.770833,119,59.427794,8.721161,68.148955,83.892487
39,2572971488893,2,606,166,0.273927,0.729167,122,68.810288,15.090323,83.900611,108.648470
40,2573151513851,2,606,167,0.275578,0.750000,129,60.272669,12.998824,73.271493,93.491730
41,2573241482810,2,604,163,0.269868,0.729167,121,60.652544,14.818573,75.471117,98.191602
42,2573331478518,2,603,166,0.275290,0.750000,123,58.199337,15.654740,73.854077,96.005104
43,2573421486268,2,604,175,0.289735,0.729167,127,66.785831,15.801323,82.587154,105.016514
44,2573511491102,2,602,155,0.257475,0.708333,116,62.384251,14.817698,77.201949,102.444474
45,2573601474310,2,601,165,0.274542,0.770833,118,58.421503,14.881407,73.302910,94.281729
46,2573691487018,2,603,170,0.281924,0.750000,124,61.965959,8.476869,70.442828,85.089694
47,2573871481185,2,603,157,0.260365,0.729167,128,64.382416,14.798198,79.180614,104.159848
48,2573961525810,2,603,153,0.253731,0.687500,120,60.665293,11.230201,71.895494,92.962063
49,2574051480560,2,606,154,0.254125,0.770833,124,60.545668,14.547366,75.093034,103.733432
50,2574141488394,2,604,166,0.274834,0.708333,124,58.982420,8.327286,67.309706,82.082821
51,2574231483935,2,605,165,0.272727,0.729167,124,61.864168,10.650535,72.514703,94.848355
52,2574321481352,2,600,155,0.258333,0.750000,120,56.326088,13.807491,70.133579,88.770275
53,2574411477269,2,601,160,0.266223,0.708333,116,62.812042,13.833324,76.645366,99.872267
54,2574501478227,2,606,162,0.267327,0.750000,126,65.394373,10.775535,76.169908,95.071104
55,2574681500269,2,605,159,0.262810,0.708333,123,59.446461,7.617370,67.063831,80.459822
56,2574771485352,2,605,170,0.280992,0.750000,119,65.953623,8.613786,74.567409,89.563983
57,2574861490436,2,604,187,0.309603,0.687500,133,65.100541,15.818656,80.919197,103.292307
58,2574951491436,2,604,162,0.268212,0.687500,122,58.720045,8.305911,67.025956,83.137904
59,2575041485936,2,603,156,0.258706,0.708333,125,63.758958,6.468413,70.227371,85.749193
60,2575131484561,2,604,158,0.261589,0.687500,132,56.255838,13.730825,69.986663,90.000774
61,2575221484144,2,603,166,0.275290,0.750000,134,62.724500,11.801867,74.526367,96.195770
62,2575401483186,2,604,148,0.245033,0.750000,131,61.387501,7.899911,69.287412,84.465820
63,2575491485852,2,604,171,0.283113,0.791667,133,65.097166,15.999573,81.096739,107.942845
64,2575581484394,2,602,154,0.255814,0.687500,126,60.955626,14.501699,75.457325,99.977351
65,2575671476686,2,603,161,0.266998,0.666667,129,57.058921,10.454785,67.513706,90.294107
66,2575761490436,2,602,156,0.259136,0.750000,120,65.965790,14.869240,80.835030,105.289014
