method,pair_type,frame_index,stamp_sec,bag_time_sec,delta_time_sec,orb_slam_tracking_ok,keypoints_a,keypoints_b,matches,ransac_inliers,ransac_inlier_ratio,strict_inliers,strict_inlier_ratio,strict_grid_coverage,match_latency_ms,median_vertical_error_px,median_disparity_px,rectified_inliers,rectified_inlier_ratio
orb,stereo,171,2586.561521983,1780624762.408297,0.0,True,850,788,457,402,0.8796498905908097,396,0.8665207877461707,0.4791666666666667,2.3367960238829255,0.0,1.7280082702636719,408,0.8927789934354485
orb,temporal,171,2586.561521983,1780624762.408297,0.18000541700030226,True,878,850,512,417,0.814453125,417,0.814453125,0.4166666666666667,2.451526001095772,1.1999893188476562,nan,0,0.0
xfeat,stereo,180,2587.46152365,1780624763.330055,0.0,True,1024,1024,589,384,0.6519524617996605,362,0.6146010186757216,0.6458333333333334,4.967226006556302,1.0,6.0,449,0.7623089983022071
orb,stereo,180,2587.46152365,1780624763.330055,0.0,True,876,803,474,407,0.8586497890295358,402,0.8481012658227848,0.5208333333333334,2.5105329987127334,0.0,2.0,418,0.8818565400843882
xfeat,stereo,181,2587.55152665,1780624763.433519,0.0,True,1024,1024,595,418,0.7025210084033613,401,0.6739495798319328,0.6875,3.639616013970226,1.0,7.0,445,0.7478991596638656
xfeat,temporal,181,2587.55152665,1780624763.433519,0.09000300000025163,True,1024,1024,589,374,0.634974533106961,374,0.634974533106961,0.6666666666666666,2.7351760072633624,3.0,nan,0,0.0
orb,stereo,181,2587.55152665,1780624763.433519,0.0,True,888,778,468,398,0.8504273504273504,397,0.8482905982905983,0.3958333333333333,2.1816329972352833,0.0,2.0,413,0.8824786324786325
orb,temporal,181,2587.55152665,1780624763.433519,0.09000300000025163,True,876,888,542,460,0.8487084870848709,460,0.8487084870848709,0.4583333333333333,2.641044993652031,0.0,nan,0,0.0
xfeat,stereo,190,2588.451552984,1780624764.3548112,0.0,True,1024,1024,599,400,0.667779632721202,380,0.6343906510851419,0.6666666666666666,3.7635639891959727,1.0,6.0,467,0.7796327212020033
orb,stereo,190,2588.451552984,1780624764.3548112,0.0,True,820,757,457,383,0.838074398249453,382,0.8358862144420132,0.5208333333333334,1.881014002719894,0.0,2.0736083984375,396,0.8665207877461707
