index,left_x,left_y,right_x,depth,octave,response,valid_depth
260,615.600037,518.400024,-1.000000,-1.000000,1,19.000000,0
261,576.000000,502.800018,522.361389,0.328480,1,14.000000,1
262,615.600037,465.600006,-1.000000,-1.000000,1,12.000000,0
263,549.600037,474.000031,-1.000000,-1.000000,1,18.000000,0
264,136.800003,310.800018,135.747849,16.745840,1,76.000000,1
265,105.600006,306.000000,-1.000000,-1.000000,1,53.000000,0
266,136.800003,274.800018,135.293091,11.692261,1,52.000000,1
267,130.800003,297.600006,-1.000000,-1.000000,1,59.000000,0
268,134.400009,244.800003,132.979858,12.406578,1,126.000000,1
269,121.200005,243.600006,-1.000000,-1.000000,1,64.000000,0
270,136.800003,226.800003,-1.000000,-1.000000,1,104.000000,0
271,114.000008,236.400009,-1.000000,-1.000000,1,79.000000,0
272,337.200012,356.400024,-1.000000,-1.000000,1,41.000000,0
273,339.600006,273.600006,335.027893,3.853626,1,8.000000,1
274,597.600037,313.200012,596.194763,12.537924,1,20.000000,1
275,530.400024,283.200012,525.524780,3.614016,1,44.000000,1
276,363.600006,410.400024,-1.000000,-1.000000,1,17.000000,0
277,504.000031,445.200012,461.841339,0.417926,1,45.000000,1
278,127.200005,345.600006,-1.000000,-1.000000,1,40.000000,0
279,90.000000,363.600006,88.028702,8.937872,1,31.000000,1
280,90.000000,298.800018,-1.000000,-1.000000,1,69.000000,0
281,268.800018,357.600006,-1.000000,-1.000000,1,46.000000,0
282,202.800003,393.600006,173.092041,0.593080,1,25.000000,1
283,298.800018,285.600006,294.442444,4.043353,1,15.000000,1
284,171.600006,273.600006,-1.000000,-1.000000,1,48.000000,0
285,418.800018,141.600006,415.137909,4.811219,1,50.000000,1
286,340.800018,142.800003,338.521667,7.733318,1,61.000000,1
287,441.600006,58.800003,437.192810,3.997828,1,53.000000,1
288,375.600006,31.200001,-1.000000,-1.000000,1,15.000000,0
289,514.800049,136.800003,-1.000000,-1.000000,1,7.000000,0
290,523.200012,42.000000,518.373657,3.650625,1,101.000000,1
291,387.600006,217.200012,-1.000000,-1.000000,1,27.000000,0
292,418.800018,148.800003,415.327942,5.074546,1,45.000000,1
293,337.200012,157.200012,335.168121,8.671337,1,110.000000,1
294,573.600037,229.200012,571.746460,9.505521,1,52.000000,1
295,606.000000,188.400009,604.395142,10.978670,1,77.000000,1
296,534.000000,194.400009,529.267639,3.723134,1,107.000000,1
297,106.800003,108.000008,-1.000000,-1.000000,1,39.000000,0
298,73.200005,124.800003,70.450912,6.409102,1,28.000000,1
299,166.800003,32.400002,-1.000000,-1.000000,1,22.000000,0
300,39.600002,64.800003,-1.000000,-1.000000,1,28.000000,0
301,225.600006,103.200005,-1.000000,-1.000000,1,135.000000,0
302,303.600006,40.800003,298.689301,3.587919,1,118.000000,1
303,172.800003,40.800003,-1.000000,-1.000000,1,30.000000,0
304,86.400002,210.000015,-1.000000,-1.000000,1,106.000000,0
305,296.400024,259.200012,291.711212,3.757713,1,47.000000,1
306,181.200012,205.200012,179.515549,10.459836,1,102.000000,1
307,581.760010,432.000031,542.924072,0.453683,2,12.000000,1
308,557.280029,443.520020,516.456360,0.431593,2,24.000000,1
309,609.119995,400.320007,-1.000000,-1.000000,2,9.000000,0
310,545.760010,406.080017,-1.000000,-1.000000,2,9.000000,0
311,316.800018,141.120010,314.169739,6.698608,2,107.000000,1
312,249.120010,133.919998,246.651642,7.137999,2,128.000000,1
313,305.279999,102.240005,301.724365,4.955295,2,34.000000,1
314,393.120026,492.480011,342.484894,0.347964,2,10.000000,1
315,332.640015,508.320007,-1.000000,-1.000000,2,10.000000,0
316,390.240021,478.080017,-1.000000,-1.000000,2,8.000000,0
317,439.200012,506.880005,-1.000000,-1.000000,2,7.000000,0
318,397.440002,509.760010,-1.000000,-1.000000,2,7.000000,0
319,446.400024,480.960022,441.260712,3.428320,2,13.000000,1
320,429.120026,488.160034,-1.000000,-1.000000,2,8.000000,0
321,453.600006,253.440002,448.872131,3.726666,2,21.000000,1
322,423.360016,267.839996,418.915619,3.964365,2,21.000000,1
323,463.680023,233.280014,-1.000000,-1.000000,2,114.000000,0
324,429.120026,240.480011,-1.000000,-1.000000,2,21.000000,0
325,82.080002,246.240005,79.324547,6.394302,2,108.000000,1
326,86.400002,210.240005,-1.000000,-1.000000,2,97.000000,0
327,298.080017,436.320007,-1.000000,-1.000000,2,10.000000,0
328,257.760010,437.760010,-1.000000,-1.000000,2,13.000000,0
329,286.559998,419.040009,-1.000000,-1.000000,2,21.000000,0
330,270.720001,426.240021,-1.000000,-1.000000,2,10.000000,0
331,463.680023,377.280029,-1.000000,-1.000000,2,8.000000,0
332,413.280029,381.600006,409.256775,4.379343,2,19.000000,1
333,442.080017,347.040009,422.125732,0.882979,2,14.000000,1
334,406.080017,354.240021,-1.000000,-1.000000,2,12.000000,0
335,443.520020,452.160004,-1.000000,-1.000000,2,14.000000,0
336,429.120026,453.600006,-1.000000,-1.000000,2,8.000000,0
337,443.520020,426.240021,-1.000000,-1.000000,2,13.000000,0
338,429.120026,413.280029,-1.000000,-1.000000,2,10.000000,0
339,518.400024,367.200012,-1.000000,-1.000000,2,23.000000,0
340,528.480042,352.800018,506.832031,0.813895,2,14.000000,1
341,475.200012,339.840027,-1.000000,-1.000000,2,12.000000,0
342,69.120003,79.200005,65.806686,5.317697,2,12.000000,1
343,41.760002,60.480003,37.802883,4.452535,2,18.000000,1
344,28.800001,51.840004,24.686041,4.282786,2,14.000000,1
345,83.520004,434.880005,-1.000000,-1.000000,2,17.000000,0
346,28.800001,449.280029,-1.000000,-1.000000,2,14.000000,0
347,63.360001,420.480011,-1.000000,-1.000000,2,19.000000,0
348,53.280003,423.360016,-1.000000,-1.000000,2,11.000000,0
349,296.640015,181.440002,291.989441,3.788610,2,77.000000,1
350,273.600006,203.040009,272.070557,11.519970,2,48.000000,1
351,302.400024,156.960007,297.888885,3.905712,2,29.000000,1
352,264.960022,156.960007,263.241302,10.251359,2,133.000000,1
353,286.559998,512.640015,230.730499,0.315590,2,14.000000,1
354,263.520020,514.080017,-1.000000,-1.000000,2,9.000000,0
355,286.559998,488.160034,236.495514,0.351930,2,13.000000,1
356,264.960022,472.320007,217.966324,0.374927,2,9.000000,1
357,210.240005,253.440002,208.919052,13.338254,2,24.000000,1
358,171.360001,244.800003,-1.000000,-1.000000,2,52.000000,0
359,188.640015,231.840012,187.012894,10.828458,2,81.000000,1
360,596.160034,370.080017,-1.000000,-1.000000,2,10.000000,0
361,550.080017,375.840027,523.831482,0.671246,2,13.000000,1
362,596.160034,362.880005,-1.000000,-1.000000,2,11.000000,0
363,545.760010,338.400024,-1.000000,-1.000000,2,9.000000,0
364,214.560013,499.680023,-1.000000,-1.000000,2,10.000000,0
365,184.320007,502.560028,-1.000000,-1.000000,2,53.000000,0
366,239.040009,476.640015,-1.000000,-1.000000,2,13.000000,0
367,195.840012,483.840027,-1.000000,-1.000000,2,9.000000,0
368,92.160004,201.600006,-1.000000,-1.000000,2,103.000000,0
369,72.000000,155.520004,69.207710,6.309951,2,77.000000,1
370,603.360046,493.920013,-1.000000,-1.000000,2,13.000000,0
371,561.600037,501.120026,-1.000000,-1.000000,2,11.000000,0
372,593.280029,459.360016,548.392212,0.392517,2,12.000000,1
373,550.080017,483.840027,-1.000000,-1.000000,2,14.000000,0
374,149.760010,201.600006,148.173935,11.108688,2,76.000000,1
375,129.600006,208.800003,128.175842,12.371618,2,99.000000,1
376,112.320007,162.720001,-1.000000,-1.000000,2,67.000000,0
377,136.800003,311.040009,135.797226,17.570415,2,68.000000,1
378,102.240005,308.160004,-1.000000,-1.000000,2,41.000000,0
379,135.360001,275.040009,133.652725,10.320076,2,56.000000,1
380,113.760002,282.240021,112.237297,11.570994,2,69.000000,1
381,144.000000,250.560013,142.259506,10.123111,2,79.000000,1
382,133.919998,244.800003,132.416733,11.720626,2,113.000000,1
383,136.800003,227.520004,135.237732,11.277947,2,82.000000,1
384,97.920006,237.600006,-1.000000,-1.000000,2,78.000000,0
385,336.960022,357.120026,-1.000000,-1.000000,2,36.000000,0
386,408.960022,331.200012,-1.000000,-1.000000,2,12.000000,0
387,351.360016,273.600006,-1.000000,-1.000000,2,7.000000,0
388,597.600037,313.920013,596.153198,12.177732,2,17.000000,1
389,529.920044,285.120026,525.185974,3.721789,2,44.000000,1
390,362.880005,410.400024,-1.000000,-1.000000,2,9.000000,0
391,478.080017,483.840027,-1.000000,-1.000000,2,15.000000,0
392,504.000031,446.400024,461.520020,0.414765,2,43.000000,1
393,126.720001,344.160004,-1.000000,-1.000000,2,34.000000,0
394,89.280006,364.320007,87.482941,9.804433,2,35.000000,1
395,90.720001,298.080017,-1.000000,-1.000000,2,52.000000,0
396,253.440002,383.040009,-1.000000,-1.000000,2,29.000000,0
397,239.040009,348.480011,-1.000000,-1.000000,2,10.000000,0
398,303.840027,275.040009,-1.000000,-1.000000,2,7.000000,0
399,185.760010,312.480011,184.063843,10.387663,2,40.000000,1
400,167.040009,475.200012,-1.000000,-1.000000,2,9.000000,0
401,31.680000,493.920013,-1.000000,-1.000000,2,12.000000,0
402,128.160004,420.480011,-1.000000,-1.000000,2,9.000000,0
403,236.160004,416.160004,-1.000000,-1.000000,2,33.000000,0
404,417.600006,141.120010,413.758575,4.586627,2,45.000000,1
405,338.400024,144.000000,336.439789,8.988313,2,50.000000,1
406,455.040009,38.880001,450.426453,3.819009,2,32.000000,1
407,381.600006,28.800001,-1.000000,-1.000000,2,7.000000,0
408,522.720032,41.760002,517.997620,3.730977,2,98.000000,1
409,387.360016,217.440002,-1.000000,-1.000000,2,25.000000,0
410,417.600006,149.760010,414.136871,5.087648,2,46.000000,1
411,336.960022,156.960007,335.237762,10.230289,2,109.000000,1
412,573.119995,228.960007,571.301636,9.689620,2,52.000000,1
413,483.840027,227.520004,479.225464,3.818176,2,90.000000,1
414,606.240051,188.640015,604.587463,10.661588,2,73.000000,1
415,534.240051,194.400009,529.636047,3.826932,2,90.000000,1
