method,frame_index,stamp_ns,orb_tracking_ok,extract_pair_ms,temporal_match_ms,temporal_matches,temporal_ransac_inliers,temporal_ransac_ratio,temporal_coverage,stereo_matches,stereo_geometric_depths,stereo_ncc_depths,stereo_ncc_ratio,stereo_ncc_coverage,stereo_ncc_median,pnp_candidates,pnp_success,pnp_inliers,pnp_inlier_ratio,pnp_reprojection_median_px,pnp_reprojection_p90_px,pnp_grid_coverage,relative_translation_m,relative_rotation_rad,pnp_ms
xfeat_grid_fine,161,2585481522149,True,202.32873794157058,12.552383996080607,216,175,0.8101851851851852,0.7708333333333334,214,213,143,0.6682242990654206,0.7083333333333334,0.7039835453033447,96,1,81,0.84375,0.6277134418487549,1.104040503501892,0.3125,0.015558315292045915,0.004704186506010694,0.9212690056301653
xfeat_global_fine,161,2585481522149,True,94.28721899166703,7.439422013703734,360,328,0.9111111111111111,0.375,358,356,305,0.8519553072625698,0.3125,0.8552133440971375,262,1,251,0.9580152671755725,0.4971023499965668,1.000413179397583,0.2708333333333333,0.01480363620717906,0.005764713193957936,1.001992030069232
orb_control,161,2585481522149,True,11.268136964645237,1.384871022310108,372,337,0.9059139784946236,0.3958333333333333,344,287,277,0.8052325581395349,0.4375,0.943352222442627,212,1,186,0.8773584905660378,0.7170950174331665,1.3431610465049744,0.3125,0.04130126193975158,0.002413531275090348,0.970080029219389
xfeat_sparse_coarse,171,2586561521983,True,191.48174597648904,2.7630390250124037,239,157,0.6569037656903766,0.375,261,223,167,0.6398467432950191,0.5833333333333334,0.7844425439834595,85,1,57,0.6705882352941176,0.7415367364883423,1.3479021072387696,0.2708333333333333,0.047957502140941397,0.005226596753314952,2.32646003132686
xfeat_grid_fine,171,2586561521983,True,207.81801303382963,10.993984993547201,163,131,0.803680981595092,0.5,221,219,153,0.6923076923076923,0.7916666666666666,0.7582545280456543,88,1,70,0.7954545454545454,0.6655849814414978,1.4164631247520447,0.3958333333333333,0.04029544830470669,0.004368508442072101,1.1605070321820676
xfeat_global_fine,171,2586561521983,True,99.14683602983132,7.224205997772515,360,326,0.9055555555555556,0.3125,363,361,313,0.8622589531680441,0.4791666666666667,0.8547411561012268,256,1,242,0.9453125,0.5454189777374268,1.1411243796348574,0.3125,0.03166728215494885,0.005006930197149224,0.9877469856292009
orb_control,171,2586561521983,True,11.333919013850391,1.267277984879911,351,295,0.8404558404558404,0.375,354,295,285,0.8050847457627118,0.4375,0.9456169605255127,207,1,170,0.821256038647343,0.7708583474159241,1.2678526043891905,0.2708333333333333,0.049208953990894415,0.005859034338748968,1.2634359882213175
xfeat_sparse_coarse,181,2587551526650,True,183.49380802828819,2.8133169980719686,280,183,0.6535714285714286,0.4166666666666667,258,233,184,0.7131782945736435,0.6041666666666666,0.7864611148834229,107,1,70,0.6542056074766355,0.7010117769241333,1.3933469295501708,0.3125,0.03347101616181656,0.001964182646486572,2.75221501942724
xfeat_grid_fine,181,2587551526650,True,204.94785596383736,11.912390007637441,201,163,0.8109452736318408,0.7083333333333334,205,203,154,0.751219512195122,0.8125,0.7763810157775879,113,1,86,0.7610619469026548,0.6392813920974731,1.0905207395553589,0.4583333333333333,0.014783397174078934,0.004384622611291227,1.470482035074383
xfeat_global_fine,181,2587551526650,True,98.62199402414262,7.4746860191226006,366,347,0.9480874316939891,0.5208333333333334,369,369,317,0.8590785907859079,0.5,0.8407498598098755,261,1,245,0.9386973180076629,0.5424817204475403,1.0016445636749265,0.3333333333333333,0.01020274815944326,0.00525202691803195,1.0868359822779894
orb_control,181,2587551526650,True,11.534260062035173,1.4054710045456886,352,292,0.8295454545454546,0.3333333333333333,344,274,270,0.7848837209302325,0.4583333333333333,0.9377751350402832,187,1,160,0.8556149732620321,0.763196587562561,1.3704526305198668,0.2916666666666667,0.032980880678205,0.0025060911474773565,1.0410280083306134
