index,left_x,left_y,right_x,depth,octave,response,valid_depth
169,615.600037,326.400024,-1.000000,-1.000000,1,60.000000,0
170,567.600037,307.200012,539.097229,0.618157,1,50.000000,1
171,600.000000,295.200012,-1.000000,-1.000000,1,33.000000,0
172,561.600037,282.000000,-1.000000,-1.000000,1,59.000000,0
173,142.800003,188.400009,-1.000000,-1.000000,1,75.000000,0
174,117.600006,208.800003,-1.000000,-1.000000,1,76.000000,0
175,152.400009,148.800003,-1.000000,-1.000000,1,29.000000,0
176,115.200005,171.600006,113.543098,10.633801,1,63.000000,1
177,446.400024,64.800003,-1.000000,-1.000000,1,111.000000,0
178,400.800018,58.800003,397.476776,5.301814,1,88.000000,1
179,442.800018,30.000002,437.962891,3.642494,1,153.000000,1
180,427.200012,38.400002,-1.000000,-1.000000,1,149.000000,0
181,213.600006,140.400009,213.283844,55.728409,1,93.000000,1
182,196.800003,135.600006,195.595688,14.630067,1,107.000000,1
183,224.400009,88.800003,-1.000000,-1.000000,1,97.000000,0
184,194.400009,91.200005,193.198135,14.659785,1,121.000000,1
185,82.800003,264.000000,78.844650,4.454523,1,55.000000,1
186,52.800003,267.600006,48.379749,3.986018,1,40.000000,1
187,57.600002,223.200012,-1.000000,-1.000000,1,103.000000,0
188,40.800003,213.600006,37.375301,5.144743,1,120.000000,1
189,466.800018,376.800018,-1.000000,-1.000000,1,23.000000,0
190,417.600006,392.400024,-1.000000,-1.000000,1,11.000000,0
191,460.800018,363.600006,-1.000000,-1.000000,1,47.000000,0
192,416.400024,357.600006,-1.000000,-1.000000,1,42.000000,0
193,519.600037,330.000000,487.304016,0.545554,1,75.000000,1
194,495.600006,333.600006,-1.000000,-1.000000,1,39.000000,0
195,512.400024,273.600006,-1.000000,-1.000000,1,33.000000,0
196,489.600006,300.000000,466.713898,0.769865,1,50.000000,1
197,614.400024,122.400002,612.063782,7.541687,1,71.000000,1
198,573.600037,141.600006,-1.000000,-1.000000,1,77.000000,0
199,614.400024,112.800003,-1.000000,-1.000000,1,53.000000,0
200,561.600037,86.400002,559.265259,7.546419,1,38.000000,1
201,288.000000,206.400009,285.733215,7.772777,1,71.000000,1
202,280.800018,207.600006,278.447083,7.488182,1,73.000000,1
203,300.000000,171.600006,299.145874,20.628351,1,58.000000,1
204,280.800018,158.400009,-1.000000,-1.000000,1,58.000000,0
205,594.000000,64.800003,-1.000000,-1.000000,1,59.000000,0
206,571.200012,57.600002,-1.000000,-1.000000,1,35.000000,0
207,590.400024,31.200001,-1.000000,-1.000000,1,40.000000,0
208,562.800049,30.000002,-1.000000,-1.000000,1,94.000000,0
209,208.800003,58.800003,204.858536,4.470216,1,107.000000,1
210,175.200012,72.000000,174.025864,15.005947,1,93.000000,1
211,238.800003,30.000002,-1.000000,-1.000000,1,48.000000,0
212,192.000000,38.400002,-1.000000,-1.000000,1,105.000000,0
213,374.400024,141.600006,373.501648,19.612280,1,102.000000,1
214,333.600006,127.200005,332.671783,18.981665,1,97.000000,1
215,394.800018,105.600006,-1.000000,-1.000000,1,92.000000,0
216,345.600006,103.200005,-1.000000,-1.000000,1,71.000000,0
217,464.400024,318.000000,-1.000000,-1.000000,1,49.000000,0
218,418.800018,320.400024,-1.000000,-1.000000,1,44.000000,0
219,436.800018,303.600006,-1.000000,-1.000000,1,25.000000,0
220,403.200012,295.200012,383.822357,0.909254,1,38.000000,1
221,296.400024,67.200005,292.925873,5.071515,1,95.000000,1
222,277.200012,56.400002,273.575348,4.860922,1,70.000000,1
223,301.200012,25.200001,-1.000000,-1.000000,1,38.000000,0
224,280.800018,22.800001,-1.000000,-1.000000,1,80.000000,0
225,510.000031,190.800003,-1.000000,-1.000000,1,81.000000,0
226,474.000031,205.200012,-1.000000,-1.000000,1,94.000000,0
227,534.000000,171.600006,532.735352,13.932102,1,88.000000,1
228,501.600006,170.400009,500.538452,16.597565,1,134.000000,1
229,210.000015,202.800003,-1.000000,-1.000000,1,85.000000,0
230,204.000015,195.600006,201.537033,7.153609,1,84.000000,1
231,208.800003,154.800003,-1.000000,-1.000000,1,85.000000,0
232,178.800003,148.800003,-1.000000,-1.000000,1,93.000000,0
233,438.000031,129.600006,-1.000000,-1.000000,1,119.000000,0
234,404.400024,135.600006,-1.000000,-1.000000,1,105.000000,0
235,438.000031,106.800003,-1.000000,-1.000000,1,118.000000,0
236,417.600006,102.000008,-1.000000,-1.000000,1,149.000000,0
237,514.800049,52.800003,-1.000000,-1.000000,1,66.000000,0
238,481.200012,80.400002,-1.000000,-1.000000,1,140.000000,0
239,526.800049,30.000002,524.309509,7.074455,1,128.000000,1
240,474.000031,48.000000,-1.000000,-1.000000,1,145.000000,0
241,614.400024,435.600006,-1.000000,-1.000000,1,38.000000,0
242,576.000000,432.000031,537.423767,0.456737,1,32.000000,1
243,614.400024,429.600006,-1.000000,-1.000000,1,50.000000,0
244,577.200012,398.400024,-1.000000,-1.000000,1,48.000000,0
245,316.800018,122.400002,-1.000000,-1.000000,1,93.000000,0
246,280.800018,122.400002,280.016937,22.499857,1,85.000000,1
247,298.800018,112.800003,-1.000000,-1.000000,1,77.000000,0
248,279.600006,108.000008,278.273956,13.286990,1,105.000000,1
249,373.200012,57.600002,-1.000000,-1.000000,1,126.000000,0
250,350.400024,60.000004,-1.000000,-1.000000,1,88.000000,0
251,388.800018,44.400002,385.249268,4.962109,1,139.000000,1
252,327.600006,25.200001,324.034332,4.941341,1,106.000000,1
253,445.200012,195.600006,-1.000000,-1.000000,1,85.000000,0
