frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,hybrid_candidates,hybrid_fine_matches,hybrid_accepted,hybrid_added,hybrid_replaced,hybrid_rejected,hybrid_ms,frontend_ms,track_total_ms,pose_valid,tcw_tx,tcw_ty,tcw_tz,tcw_qx,tcw_qy,tcw_qz,tcw_qw
38,1785980803717006971,2,606,210,0.346535,0.812500,180,84.270817,8.291547,0,0,0,0,0,0,0.000000,92.562364,110.279807,1,-0.000229,-0.000071,0.000012,-0.000014,0.000099,-0.000106,1.000000
39,1785980803807008596,2,606,228,0.376238,0.812500,171,84.290692,8.653511,0,0,0,0,0,0,0.000000,92.944203,109.735591,1,-0.000098,-0.000050,-0.000017,-0.000006,0.000018,-0.000060,1.000000
40,1785980803897006971,2,605,217,0.358678,0.791667,181,83.854103,8.554301,0,0,0,0,0,0,0.000000,92.408404,109.261625,1,-0.000158,-0.000023,-0.000008,0.000016,0.000016,-0.000124,1.000000
41,1785980803987006721,2,605,217,0.358678,0.812500,181,84.179024,8.412257,0,0,0,0,0,0,0.000000,92.591281,108.653407,1,-0.000194,-0.000027,-0.000022,0.000018,0.000075,-0.000132,1.000000
42,1785980804077008305,2,605,212,0.350413,0.833333,171,84.191108,8.256587,0,0,0,0,0,0,0.000000,92.447695,108.080231,1,-0.000111,-0.000031,-0.000002,0.000009,-0.000015,-0.000138,1.000000
43,1785980804167009513,2,606,224,0.369637,0.791667,174,83.986520,8.635760,0,0,0,0,0,0,0.000000,92.622280,109.933675,1,-0.000112,-0.000018,-0.000002,0.000028,0.000005,-0.000084,1.000000
44,1785980804257007013,2,605,212,0.350413,0.812500,179,84.057895,8.278879,0,0,0,0,0,0,0.000000,92.336774,107.734848,1,-0.000024,0.000030,-0.000019,0.000076,-0.000061,-0.000079,1.000000
45,1785980804347009972,2,605,235,0.388430,0.833333,181,85.142453,9.065766,0,0,0,0,0,0,0.000000,94.208219,111.019233,1,-0.000108,-0.000018,-0.000017,0.000024,-0.000009,-0.000094,1.000000
46,1785980804437008180,2,605,219,0.361983,0.791667,175,84.008853,8.431715,0,0,0,0,0,0,0.000000,92.440568,108.487693,1,-0.000021,-0.000052,-0.000119,0.000089,-0.000059,-0.000022,1.000000
47,1785980804527007722,2,606,218,0.359736,0.812500,171,84.134022,8.650260,0,0,0,0,0,0,0.000000,92.784282,110.325389,1,0.000042,-0.000023,-0.000049,0.000032,-0.000091,-0.000038,1.000000
48,1785980804617023347,2,606,221,0.364686,0.812500,176,84.352150,8.545550,0,0,0,0,0,0,0.000000,92.897700,109.745171,1,-0.000101,0.000027,-0.000103,0.000107,-0.000059,-0.000148,1.000000
49,1785980804707010388,2,605,215,0.355372,0.833333,180,84.175395,8.322046,0,0,0,0,0,0,0.000000,92.497441,108.685610,1,-0.000090,0.000023,-0.000058,0.000078,-0.000012,-0.000138,1.000000
50,1785980804797005513,2,605,219,0.361983,0.812500,180,84.099644,8.624509,0,0,0,0,0,0,0.000000,92.724153,110.141050,1,-0.000068,-0.000036,-0.000002,-0.000007,0.000003,-0.000097,1.000000
51,1785980804887008638,2,605,219,0.361983,0.833333,174,84.629152,8.716511,0,0,0,0,0,0,0.000000,93.345663,110.592390,1,-0.000043,-0.000001,-0.000194,0.000135,-0.000066,-0.000084,1.000000
52,1785980804977009305,2,605,222,0.366942,0.812500,175,84.231937,8.564175,0,0,0,0,0,0,0.000000,92.796112,110.613348,1,-0.000095,0.000089,-0.000027,0.000089,0.000000,-0.000132,1.000000
53,1785980805067010264,2,606,220,0.363036,0.812500,178,84.234021,8.540758,0,0,0,0,0,0,0.000000,92.774779,109.110201,1,-0.000196,0.000044,-0.000029,0.000090,0.000020,-0.000166,1.000000
