frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,hybrid_candidates,hybrid_fine_matches,hybrid_accepted,hybrid_added,hybrid_replaced,hybrid_rejected,hybrid_ms,frontend_ms,track_total_ms,pose_valid,tcw_tx,tcw_ty,tcw_tz,tcw_qx,tcw_qy,tcw_qz,tcw_qw
38,1785981018277843740,2,602,195,0.323920,0.791667,146,80.925145,60.642504,360,346,20,20,0,304,53.305760,141.567649,152.237993,1,0.004468,0.018384,-0.343451,0.012424,-0.017656,-0.022504,0.999514
39,1785981018367843240,2,603,205,0.339967,0.770833,102,77.726422,60.675504,361,351,20,20,0,314,53.152801,138.401926,149.776565,1,0.008492,0.020522,-0.376316,0.011152,-0.016115,-0.019160,0.999624
40,1785981018457847449,2,607,179,0.294893,0.708333,93,81.248189,60.320628,344,338,11,11,0,305,53.089842,141.568817,153.314957,1,0.009981,0.020306,-0.411357,0.011891,-0.016762,-0.019783,0.999593
41,1785981018547847907,2,604,204,0.337748,0.750000,85,79.188845,60.609212,359,345,18,18,0,305,53.075259,139.798057,150.293734,1,0.016300,0.025225,-0.444400,0.015639,-0.023263,-0.014388,0.999503
42,1785981018637847032,2,606,191,0.315182,0.729167,142,81.930899,60.989631,360,349,20,19,1,306,53.539678,142.920530,153.181414,1,0.018498,0.028795,-0.469036,0.008889,-0.027269,-0.017486,0.999436
43,1785981018727848990,2,607,219,0.360791,0.750000,107,75.081492,61.844510,351,340,15,14,1,306,53.289885,136.926002,148.663142,1,0.023658,0.029769,-0.499930,0.003725,-0.031989,-0.014917,0.999370
44,1785981018817851657,2,605,209,0.345455,0.791667,79,79.240554,61.792760,347,335,11,11,0,295,53.560928,141.033314,151.116237,1,0.027175,0.027173,-0.527575,-0.008568,-0.037501,-0.016685,0.999121
45,1785981018907847407,2,606,212,0.349835,0.770833,78,77.096668,61.510925,357,349,16,16,0,304,53.472303,138.607593,148.380349,1,0.035024,0.022541,-0.565290,-0.014116,-0.043208,-0.012562,0.998887
46,1785981018997851074,2,602,217,0.360465,0.770833,79,77.954963,61.795218,346,342,14,14,0,292,53.557803,139.750181,149.279270,1,0.041349,0.024861,-0.598661,-0.011056,-0.045423,-0.005541,0.998891
47,1785981019087845532,2,606,225,0.371287,0.770833,77,77.457337,61.456091,347,336,17,17,0,284,53.470135,138.913428,148.407515,1,0.048800,0.028208,-0.635051,-0.006366,-0.050539,-0.000487,0.998702
48,1785981019177847449,2,605,227,0.375207,0.770833,151,77.432002,62.004552,358,352,23,23,0,301,53.812971,139.436554,149.596104,1,0.059382,0.028561,-0.673491,-0.005764,-0.057219,0.003479,0.998339
49,1785981019267849366,2,606,236,0.389439,0.791667,94,73.062023,61.707634,352,343,17,17,0,300,53.346719,134.769657,145.389459,1,0.073188,0.037388,-0.711488,0.004067,-0.063752,0.017244,0.997809
50,1785981019357850407,2,606,219,0.361386,0.812500,80,78.724092,61.050006,367,351,27,27,0,304,53.288926,139.774098,149.462062,1,0.088583,0.039785,-0.743751,0.003144,-0.068801,0.029243,0.997197
51,1785981019447847824,2,604,216,0.357616,0.791667,74,79.483554,60.880505,338,329,20,20,0,292,52.985133,140.364059,149.662396,1,0.089461,0.040970,-0.772978,0.002982,-0.063634,0.035826,0.997326
52,1785981019537847491,2,604,226,0.374172,0.812500,158,77.836796,61.159257,351,342,19,19,0,305,53.160968,138.996053,148.902934,1,0.088781,0.049588,-0.806859,0.008141,-0.059115,0.035698,0.997579
53,1785981019627848741,2,603,217,0.359867,0.791667,111,74.224028,60.627504,351,340,20,19,1,299,53.215759,134.851532,147.498260,1,0.089803,0.056751,-0.845299,0.012599,-0.056698,0.037537,0.997606
54,1785981019717850283,2,601,210,0.349418,0.812500,93,77.682503,61.156881,357,349,21,21,0,309,53.459093,138.839384,149.945355,1,0.090230,0.052228,-0.879578,0.007309,-0.051971,0.043573,0.997671
55,1785981019807853033,2,605,233,0.385124,0.812500,88,77.024167,61.796134,346,338,18,18,0,296,53.309343,138.820301,150.266024,1,0.092474,0.046222,-0.906973,0.000257,-0.051471,0.040911,0.997836
56,1785981019897852616,2,606,241,0.397690,0.770833,79,77.062126,61.840551,354,337,16,15,1,296,53.077175,138.902677,149.178226,1,0.087905,0.040157,-0.932677,-0.006113,-0.049445,0.033127,0.998209
57,1785981019987854658,2,604,215,0.355960,0.750000,82,80.049890,61.154589,357,348,21,21,0,304,53.401552,141.204479,150.247940,1,0.086135,0.052176,-0.971307,0.002074,-0.047518,0.025177,0.998551
58,1785981020077853324,2,607,215,0.354201,0.791667,80,78.430549,60.931463,359,349,22,22,0,309,53.222468,139.362012,148.846058,1,0.083463,0.062178,-1.012732,0.009611,-0.047388,0.023594,0.998552
59,1785981020167852616,2,607,222,0.365733,0.791667,161,78.777133,60.970963,341,329,19,19,0,293,52.961049,139.748096,150.427815,1,0.096563,0.069019,-1.048759,0.012218,-0.051054,0.023797,0.998338
